"audience","source_file","component_symbols","route_paths","route_status","navigation_placement","surface_classification","visible_technical_indicators","notes"
"agency","frontend/src/pages/agency/GdsParserPage.jsx","GdsParserPage","/agency/gds-parser","exact_and_dynamic","advanced","catalogue_or_governance","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ImportTemplatesPage.jsx","ImportTemplatesPage","/agency/import-templates","exact","advanced","catalogue_or_governance","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/IntelligenceCasesPage.jsx","IntelligenceCasesPage","/agency/intelligence-cases","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/InterlineCodeshareAdvisorPage.jsx","AgencyInterlineCodeshareAdvisorPage","/agency/interline-codeshare-advisor","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/InvoiceDetailPage.jsx","InvoiceDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/InvoicesPage.jsx","InvoicesPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/JourneyAuthoringWorkspacePage.jsx","JourneyAuthoringWorkspacePage","/agency/journey-authoring","exact","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/JourneyComparisonPresentationWorkspacePage.jsx","JourneyComparisonPresentationWorkspacePage","/agency/journey-comparison-presentations","exact","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/JourneyOptionCompositionWorkspacePage.jsx","JourneyOptionCompositionWorkspacePage","/agency/journey-option-composition","exact","contextual","contextual_detail","metadata | engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/JourneyWorkspacePage.jsx","JourneyWorkspacePage","/agency/journeys","exact","contextual","contextual_detail","metadata | engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/KnowledgeAcquisitionPage.jsx","KnowledgeAcquisitionPage","/agency/knowledge-acquisition","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/KnowledgeGovernancePage.jsx","KnowledgeGovernancePage","/agency/knowledge-governance","exact","advanced","catalogue_or_governance","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/KnowledgeNormalisationPage.jsx","KnowledgeNormalisationPage","/agency/knowledge-normalisation","exact","advanced","specialist_tooling","metadata | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/KnowledgePopulationToolkitPage.jsx","AgencyKnowledgePopulationToolkitPage","/agency/knowledge-population-toolkit","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/KnowledgeQualityAssurancePage.jsx","AgencyKnowledgeQualityAssurancePage","/agency/knowledge-quality-assurance","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/KnowledgeUpdatesPage.jsx","AgencyKnowledgeUpdatesPage","/agency/knowledge-updates","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferBuilderPage.jsx","OfferBuilderPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OfferCreatePage.jsx","OfferCreatePage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OfferDecisionExplanationsPage.jsx","AgencyOfferDecisionExplanationsPage","/agency/offer-decision-explanations","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportAuditReviewsPage.jsx","AgencyOfferDecisionExportAuditReviewsPage","/agency/offer-decision-export-audit-reviews","exact","advanced","foundation_or_metadata","metadata | foundation","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportCompliancePage.jsx","AgencyOfferDecisionExportCompliancePage","/agency/offer-decision-export-compliance","exact","advanced","foundation_or_metadata","metadata | foundation","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportDeliveriesPage.jsx","AgencyOfferDecisionExportDeliveriesPage","/agency/offer-decision-export-deliveries","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportDeliveryOutcomesPage.jsx","AgencyOfferDecisionExportDeliveryOutcomesPage","/agency/offer-decision-export-delivery-outcomes","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportGovernancePage.jsx","AgencyOfferDecisionExportGovernancePage","/agency/offer-decision-export-governance","exact","advanced","foundation_or_metadata","metadata | foundation","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportPreviewsPage.jsx","AgencyOfferDecisionExportPreviewsPage","/agency/offer-decision-export-previews","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportReleasesPage.jsx","AgencyOfferDecisionExportReleasesPage","/agency/offer-decision-export-releases","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionExportsPage.jsx","AgencyOfferDecisionExportsPage","/agency/offer-decision-exports","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDecisionPacksPage.jsx","AgencyOfferDecisionPacksPage","/agency/offer-decision-packs","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferDeliveryContextPage.jsx","OfferDeliveryContextPage","/agency/offer-deliveries","exact","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OfferDetailPage.jsx","OfferDetailPage","none found","orphan","orphan","orphan_or_unused","none","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/OfferIntelligencePage.jsx","OfferIntelligencePage","/agency/offer-intelligence","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OfferPolicyAdvisorPage.jsx","AgencyOfferPolicyAdvisorPage","/agency/offer-policy-advisor","exact_and_dynamic","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OffersPage.jsx","OffersPage","none found","orphan","orphan","orphan_or_unused","none","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/OfferWorkspaceDetailPage.jsx","OfferWorkspaceDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OfferWorkspaceMetadataPage.jsx","OfferWorkspaceMetadataPage","/agency/offer-workspaces","exact","contextual","foundation_or_metadata","metadata","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OfferWorkspacesPage.jsx","OfferWorkspacesPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/OperationalConstraintsPage.jsx","AgencyOperationalConstraintsPage","/agency/operational-constraints","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OperationalEvaluationsPage.jsx","OperationalEvaluationsPage","/agency/operational-evaluations","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OperationalIntelligencePage.jsx","OperationalIntelligencePage","/agency/operational-intelligence","exact","advanced","specialist_tooling","metadata | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OperationalWorkflowsPage.jsx","AgencyOperationalWorkflowsPage","/agency/operational-workflows","exact","advanced","diagnostics","diagnostics","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/OperationsCommandCenterPage.jsx","OperationsCommandCenterPage","/agency | /agency/operations-command-center","exact","primary","task_surface","none","Compatibility aliases share this page component."
"agency","frontend/src/pages/agency/PassengerDetailPage.jsx","PassengerDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/PassengerMasterPage.jsx","AgencyPassengerMasterPage","/agency/passengers","exact_and_dynamic","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/PassengerServicesPage.jsx","PassengerServicesPage","/agency/passenger-services","exact","advanced","specialist_tooling","metadata | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PassengersPage.jsx","PassengersPage","none found","orphan","orphan","orphan_or_unused","engineering","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/PassengerWorkspacesPage.jsx","PassengerWorkspacesPage","/agency/passenger-workspaces","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PaymentsPage.jsx","PaymentsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/PilotFeedbackPage.jsx","PilotFeedbackPage","/agency/pilot-feedback","exact","advanced","specialist_tooling","engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PilotReadinessPage.jsx","AgencyPilotReadinessPage","/agency/pilot-readiness","exact","advanced","diagnostics","metadata | diagnostics","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PolicyComparisonPage.jsx","AgencyPolicyComparisonPage","/agency/policy-comparison","exact_and_dynamic","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PolicyEditorPage.jsx","PolicyEditorPage","/agency/policy-editor","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PortalActionsPage.jsx","AgencyPortalActionsPage","/agency/portal-actions","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PricingFormulaBuilderPage.jsx","AgencyPricingFormulaBuilderPage","/agency/pricing-formula-builder","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/PublishedKnowledgePage.jsx","AgencyPublishedKnowledgePage","/agency/published-knowledge","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RecommendationsPage.jsx","RecommendationsPage","/agency/recommendations","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ReferenceDataEnginePage.jsx","AgencyReferenceDataEnginePage","/agency/reference-data-engine","exact","advanced","catalogue_or_governance","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ReferenceDataPage.jsx","ReferenceDataPage","/agency/reference","exact","advanced","foundation_or_metadata","metadata | foundation | catalogue","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RefundExchangeCaseCreatePage.jsx","RefundExchangeCaseCreatePage","/agency/refunds-exchanges/new","exact_and_dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RefundExchangeCaseDetailPage.jsx","RefundExchangeCaseDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RefundExchangeCasesPage.jsx","RefundExchangeCasesPage","/agency/refunds-exchanges","exact_and_dynamic","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ReportsPage.jsx","ReportsPage","/agency/reports","exact","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RequestCreatePage.jsx","RequestCreatePage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","catalogue | engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RequestDetailPage.jsx","RequestDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RequestIntakeDetailPage.jsx","RequestIntakeDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RequestIntakesListPage.jsx","RequestIntakesListPage","/agency/request-intakes","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RequestSegmentServicesPage.jsx","RequestSegmentServicesPage","/agency/request-segment-services","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RequestsPage.jsx","RequestsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/RequestTripConversionPage.jsx","RequestTripConversionPage","/agency/request-trip-conversion","exact","advanced","specialist_tooling","metadata | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutApprovalPage.jsx","RolloutApprovalPage","/agency/rollout-approval","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutChangeRequestsPage.jsx","RolloutChangeRequestsPage","/agency/rollout-change-requests","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutDashboardPage.jsx","AgencyRolloutDashboardPage","/agency/rollout-dashboard","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutDecisionsPage.jsx","RolloutDecisionsPage","/agency/rollout-decisions","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutIssuesPage.jsx","RolloutIssuesPage","/agency/rollout-issues","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutPlansPage.jsx","RolloutPlansPage","/agency/rollout-plans","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutRisksPage.jsx","RolloutRisksPage","/agency/rollout-risks","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutRollbackPlansPage.jsx","RolloutRollbackPlansPage","/agency/rollout-rollback-plans","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutSchedulePage.jsx","RolloutSchedulePage","/agency/rollout-schedule","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutSummaryPacksPage.jsx","RolloutSummaryPacksPage","/agency/rollout-summary-packs","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RolloutTimelinePage.jsx","RolloutTimelinePage","/agency/rollout-timeline","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/RuleComposerPage.jsx","RuleComposerPage","/agency/rule-composer","exact","advanced","catalogue_or_governance","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/SaaSSubscriptionPage.jsx","SaaSSubscriptionPage","/agency/saas-subscription","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ScenarioTestingPage.jsx","AgencyScenarioTestingPage","/agency/scenario-testing","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ServiceFeasibilityPage.jsx","ServiceFeasibilityPage","/agency/service-feasibility","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ServiceMechanicsPage.jsx","AgencyServiceMechanicsPage","/agency/service-mechanics","exact_and_dynamic","advanced","specialist_tooling","engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ServiceParameterTaxonomiesPage.jsx","ServiceParameterTaxonomiesPage","/agency/service-parameter-taxonomies","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ServiceTaxonomyPage.jsx","AgencyServiceTaxonomyPage","/agency/service-taxonomy","exact_and_dynamic","advanced","catalogue_or_governance","engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/SpecialServicesPage.jsx","SpecialServicesPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","metadata","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/SupplierCostsPage.jsx","SupplierCostsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/TaskAutomationPage.jsx","AgencyTaskAutomationPage","/agency/task-automation","exact","advanced","specialist_tooling","catalogue | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/TicketDetailPage.jsx","TicketDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/TicketsEmdsPage.jsx","TicketsEmdsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","catalogue","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/TicketWorkspaceMetadataPage.jsx","TicketWorkspaceMetadataPage","/agency/ticket-workspaces","exact","advanced","foundation_or_metadata","metadata","Retained under collapsed Advanced navigation."
